,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
128,Ahuimanu,40,US,1562816175,78,21.44,-157.84,88.0,14.99
129,Santa Maria,0,BR,1562815623,59,-16.02,-48.01,60.8,2.24
130,Teya,40,MX,1562816177,78,21.05,-89.07,80.6,9.17
131,Rocha,30,UY,1562815670,86,-34.48,-54.34,49.82,3.27
132,Leningradskiy,4,RU,1562815796,67,69.38,178.42,45.41,5.93
133,Smolenka,26,PL,1562816181,98,54.15,22.76,47.1,4.38
134,Los Llanos de Aridane,40,ES,1562815706,64,28.66,-17.92,69.8,5.82
135,Port Hedland,100,AU,1562815916,16,-20.31,118.58,84.2,16.11
136,Ornskoldsvik,100,SE,1562816185,71,63.29,18.72,50.0,6.93
137,Roald,0,NO,1562816186,93,62.58,6.12,53.01,3.36
138,Norman Wells,75,CA,1562815684,46,65.28,-126.83,69.8,2.24
139,Skibbereen,75,IE,1562816188,100,51.55,-9.27,59.0,13.87
140,Port Alfred,0,ZA,1562816190,93,-33.59,26.89,53.01,4.63
141,Emerald,0,AU,1562816191,40,-23.53,148.16,73.99,8.05
142,Santiago de Cao,20,PE,1562816192,88,-7.96,-79.24,62.6,6.93
143,Tessalit,29,ML,1562815689,27,20.2,1.01,87.96,7.81
144,Pierre,1,US,1562815964,77,44.37,-100.35,72.0,4.54
145,Finschhafen,100,PG,1562816196,99,-6.6,147.85,63.73,2.71
146,Kholmogory,90,RU,1562816197,81,64.23,41.65,42.8,8.95
147,Teberda,0,RU,1562816199,57,43.44,41.74,46.83,10.31
148,Vila Franca do Campo,20,PT,1562815825,88,37.72,-25.43,66.2,2.24
149,Damara,40,CF,1562816201,100,4.96,18.7,73.4,2.24
150,Soeng Sang,20,TH,1562816203,62,14.43,102.46,93.99,9.17
151,Alofi,75,NU,1562815850,83,-19.06,-169.92,80.6,10.29
152,Kurud,40,IN,1562816205,79,20.85,81.72,84.2,18.34
153,Katsuura,90,JP,1562816206,100,33.93,134.5,84.2,19.46
154,Manama,0,AE,1562816207,63,25.33,56.02,91.4,6.93
155,Brunswick,75,DE,1562816209,87,52.26,10.53,57.99,1.12
156,Jieshou,0,CN,1562816210,40,33.26,115.35,89.44,3.71
157,Krasnoarmeysk,90,RU,1562816211,100,56.12,38.15,57.2,6.71
158,Setermoen,90,NO,1562816213,93,68.86,18.35,52.0,5.82
159,Icod de los Vinos,90,ES,1562816214,93,28.37,-16.71,71.6,13.87
160,Lorengau,100,PG,1562815908,77,-2.02,147.27,80.42,13.0
161,Giyani,0,ZA,1562816216,50,-23.32,30.73,58.21,2.66
162,Nuuk,93,GL,1562816218,93,64.17,-51.74,41.0,6.93
163,Hasaki,75,JP,1562816180,64,35.73,140.83,73.4,5.82
164,Sitka,7,US,1562816220,76,37.17,-99.65,75.99,9.55
165,Ancud,90,CL,1562816221,93,-41.87,-73.83,44.6,5.82
166,Mariani,100,IN,1562816223,98,26.65,94.32,76.08,1.99
167,Pisco,90,PE,1562816224,77,-13.71,-76.2,62.6,9.17
168,Saint-Louis,0,SN,1562816225,82,16.03,-16.5,73.49,12.12
169,Kavieng,78,PG,1562815692,75,-2.57,150.8,83.21,14.79
170,Bethel,75,US,1562816038,68,60.79,-161.76,73.4,6.93
171,Klaksvik,100,FO,1562816218,93,62.23,-6.59,51.8,2.24
172,Mount Gambier,90,AU,1562816230,71,-37.83,140.78,55.4,26.4
173,Timra,100,SE,1562816231,81,62.49,17.33,57.99,8.05
174,Aylmer,40,CA,1562816154,94,42.77,-80.98,73.0,5.82
175,Bonavista,5,CA,1562815991,84,48.65,-53.11,46.0,5.26
176,Bosaso,2,SO,1562816235,58,11.28,49.18,89.6,14.74
177,Beringovskiy,0,RU,1562816237,51,63.05,179.32,66.38,5.64
178,Srednekolymsk,24,RU,1562816238,23,67.46,153.71,85.37,8.77
179,Te Anau,1,NZ,1562816239,77,-45.41,167.72,48.58,1.9
180,Port-Cartier,20,CA,1562816240,66,50.03,-66.88,53.6,5.82
181,Hithadhoo,100,MV,1562816242,76,-0.6,73.08,84.16,10.96
182,Sorong,100,ID,1562816243,89,-0.86,131.25,78.47,6.93
183,Whitecourt,75,CA,1562816244,82,54.14,-115.68,59.0,6.93
184,Henties Bay,0,NA,1562816245,96,-22.12,14.28,54.0,4.0
185,Torbay,90,CA,1562816247,100,47.66,-52.73,48.0,5.82
186,Gejiu,100,CN,1562816248,92,23.36,103.16,65.32,7.85
187,Kavaratti,40,IN,1562816249,79,10.57,72.64,86.0,9.17
188,College,20,US,1562815886,47,64.86,-147.8,84.99,4.79
189,Souillac,0,FR,1562815982,72,45.6,-0.6,64.0,5.5
190,Saint-Georges,67,CA,1562816253,85,46.12,-70.67,64.0,5.32
191,Sallanches,0,FR,1562816254,76,45.94,6.63,60.8,1.12
192,Verkhnyaya Inta,40,RU,1562816255,75,65.99,60.32,62.8,4.97
193,Yarim,50,YE,1562816257,58,14.3,44.38,71.38,2.21
194,Ugoofaaru,100,MV,1562816258,66,5.67,73.0,84.14,5.99
195,Impfondo,100,CD,1562816259,96,1.62,18.06,69.85,5.19
196,Laguna,20,BZ,1562816260,94,16.17,-88.94,78.8,3.18
197,Arnaia,40,GR,1562816262,77,40.49,23.6,66.2,13.87
198,Usinsk,52,RU,1562816263,82,66.0,57.56,60.24,14.85
199,Nanganga,35,TZ,1562816264,96,-10.41,39.17,59.86,2.89
200,Middelburg,100,NL,1562816265,82,51.5,3.61,64.99,9.17
201,Ostrovnoy,100,RU,1562816267,94,68.05,39.51,39.49,22.32
202,Chernyshevskiy,45,RU,1562816268,33,63.01,112.47,80.72,5.37
203,Taungdwingyi,100,MM,1562816269,77,20.0,95.55,82.79,13.78
204,Erenhot,16,CN,1562816271,30,43.65,111.97,79.95,6.96
205,Tilichiki,55,RU,1562816272,65,60.47,166.1,64.18,10.87
206,Benguela,0,AO,1562816273,81,-12.58,13.4,69.11,8.63
207,Cap Malheureux,75,MU,1562816274,88,-19.98,57.61,69.01,5.82
208,Shaunavon,73,CA,1562816276,55,49.65,-108.41,72.01,11.99
209,Lagoa,0,PT,1562816277,36,37.14,-8.45,75.2,9.17
210,Arman,0,RU,1562816278,48,59.7,150.17,73.7,7.16
211,Kokkola,90,FI,1562816280,76,63.84,23.13,53.01,5.82
212,Urusha,53,RU,1562816281,29,54.05,122.9,84.72,5.59
213,Koshurnikovo,100,RU,1562816282,56,54.3,93.39,67.57,4.41
214,Tuktoyaktuk,90,CA,1562816284,100,69.44,-133.03,39.2,17.22
215,Sao Filipe,35,CV,1562816285,86,14.9,-24.5,72.53,15.95
216,Malibu,75,MX,1562816286,78,16.77,-93.16,75.2,3.36
217,Castro Marim,0,ES,1562816287,36,37.22,-7.45,75.2,9.17
218,Edd,37,ER,1562816289,38,13.93,41.69,90.28,9.73
219,Beloha,33,MG,1562815981,87,-25.17,45.06,62.76,4.32
220,Soe,92,EE,1562816291,100,57.91,26.05,53.01,2.24
221,Fortuna,90,US,1562815773,77,40.6,-124.16,66.0,9.17
222,Anju,97,KP,1562816294,57,39.62,125.66,76.73,2.91
223,La Libertad,0,PE,1562816295,29,-16.38,-71.56,51.8,5.82
224,Guarda,0,PT,1562816296,63,40.54,-7.27,72.0,2.15
225,Brainerd,20,US,1562816212,83,46.36,-94.2,69.8,9.17
226,Dayong,40,CN,1562816299,83,25.02,118.29,84.2,8.95
227,Makarov,68,RU,1562816300,51,48.62,142.78,72.68,4.72
228,Gazojak,42,TM,1562816301,12,41.19,61.4,92.53,10.04
229,Tifton,1,US,1562816302,94,31.45,-83.51,80.6,5.64
230,Westport,1,US,1562816304,88,41.14,-73.36,78.01,0.98
231,Mango,100,CF,1562816305,99,4.65,22.36,66.68,1.52
232,Sibolga,41,ID,1562816306,74,1.74,98.78,81.84,4.85
233,Vila Velha,75,BR,1562816308,74,-3.71,-38.6,86.0,12.75
234,Dikson,100,RU,1562816235,96,73.51,80.55,31.62,11.07
235,Camopi,100,GF,1562816310,99,3.17,-52.33,70.66,2.51
236,Bauchi,98,NG,1562816312,93,10.31,9.85,69.11,5.55
237,Djambala,100,CG,1562816313,82,-2.55,14.76,68.68,6.22
238,Mitu,0,IR,1562816314,52,36.2,46.09,67.71,1.74
239,Carnarvon,0,ZA,1562816244,31,-30.97,22.13,50.93,9.57
240,Pacific Grove,40,US,1562816293,68,36.62,-121.92,73.99,10.29
241,Talnakh,0,RU,1562816318,57,69.49,88.39,51.8,8.95
242,Maldonado,0,UY,1562816320,93,-34.91,-54.96,50.0,4.7
243,Baykit,28,RU,1562816258,83,61.68,96.39,58.89,12.1
244,Ukiah,1,US,1562816293,47,39.15,-123.21,75.2,9.17
245,Srandakan,1,ID,1562816323,79,-7.94,110.25,77.02,19.1
246,Kaset Sombun,88,TH,1562816325,64,16.28,101.95,79.79,5.03
247,Chokurdakh,37,RU,1562816245,38,70.62,147.9,77.68,7.58
248,Ginda,90,IN,1562815787,94,30.69,78.49,80.6,3.36
249,Flinders,0,AU,1562816328,47,-34.58,150.85,66.0,24.16
250,Esil,75,KZ,1562816330,47,51.96,66.41,71.92,14.27
251,Adet,100,ET,1562816331,93,11.26,37.49,57.18,4.27
252,Tungor,55,RU,1562816332,76,53.39,142.95,60.74,7.76
253,Esperance,90,AU,1562816334,82,-33.86,121.89,57.2,14.99
254,Hamilton,90,CA,1562815748,83,43.26,-79.87,75.99,5.82
255,Broken Hill,2,AU,1562816336,51,-31.97,141.45,60.8,21.92
256,Anadyr,0,RU,1562815841,37,64.73,177.51,69.8,13.42
257,Sovetskiy,74,RU,1562816339,95,56.76,48.47,53.44,10.98
258,Wewak,98,PG,1562816340,64,-3.55,143.63,83.95,4.83
259,Kharsia,100,IN,1562816341,65,21.99,83.11,85.44,14.83
260,Bellevue,90,DE,1562816342,87,50.05,10.19,59.0,0.72
261,Amahai,100,ID,1562816344,79,-3.31,129.0,77.63,15.55
262,Inyonga,1,TZ,1562816345,64,-6.72,32.06,62.94,4.5
263,Baraki Barak,0,AF,1562816346,28,33.97,68.95,65.91,5.53
264,La Rioja,68,AR,1562816348,74,-29.41,-66.86,45.93,1.9
265,Gat,0,SN,1562816349,78,14.69,-16.54,75.2,8.05
266,Nantucket,1,US,1562816350,83,41.28,-70.1,72.0,4.7
267,Karwar,100,IN,1562816351,83,14.8,74.13,81.05,10.51
268,Chongwe,0,ZM,1562816353,81,-15.33,28.68,50.02,6.71
269,Pozo Colorado,0,PY,1562816354,69,-23.49,-58.8,66.2,6.71
270,Adigeni,75,GE,1562816355,100,41.67,42.71,69.8,2.24
271,Aklavik,90,CA,1562815933,93,68.22,-135.01,46.4,13.87
272,Praya,20,ID,1562816358,61,-8.71,116.27,82.4,12.75
273,Havre-Saint-Pierre,40,CA,1562816246,66,50.23,-63.6,53.6,6.93
274,Inhambane,0,MZ,1562816357,86,-23.87,35.38,56.57,3.53
275,Okato,100,NZ,1562816361,90,-39.19,173.88,54.0,1.99
276,Tuatapere,7,NZ,1562816363,82,-46.13,167.69,53.01,4.0
277,Skelmersdale,75,GB,1562816364,93,53.55,-2.78,62.01,2.24
278,Lavrentiya,1,RU,1562816365,29,65.58,-170.99,74.77,7.25
279,Kahului,40,US,1562816190,62,20.89,-156.47,86.0,23.04
280,Priponesti,0,RO,1562816368,100,46.08,27.43,52.0,3.67
281,Codrington,0,AU,1562816224,37,-28.95,153.24,73.4,17.22
282,Oshkosh,90,US,1562816370,64,44.02,-88.54,75.2,5.19
283,North Bend,90,US,1562816371,93,43.41,-124.22,72.0,3.36
284,Cherskiy,23,RU,1562815782,26,68.75,161.3,85.39,8.08
285,Rawson,99,AR,1562816374,57,-43.3,-65.11,51.85,11.9
286,Tukums,40,LV,1562816375,93,56.97,23.17,55.4,2.24
287,Molfetta,0,IT,1562816377,64,41.2,16.6,73.0,11.41
288,Paita,0,PE,1562816378,89,-5.09,-81.11,64.43,15.99
289,Nizhniy Odes,85,RU,1562816379,97,63.64,54.86,52.95,8.61
290,Kenai,75,US,1562816381,77,60.55,-151.26,64.0,8.05
291,Ciudad Bolivar,1,VE,1562816384,81,8.12,-63.55,76.51,7.05
292,Carballo,90,ES,1562816385,100,43.21,-8.69,64.0,4.7
293,Portobelo,40,PA,1562816386,83,9.55,-79.65,78.8,9.17
294,Saint-Francois,0,FR,1562816387,81,46.42,3.91,53.6,1.34
295,Ylojarvi,0,FI,1562816389,76,61.56,23.6,53.6,4.7
296,Kasongo-Lunda,0,CD,1562816390,92,-6.48,16.82,58.94,0.47
297,Ballina,42,IE,1562816391,93,54.11,-9.15,59.0,3.0
298,Kutum,100,SD,1562816393,52,14.2,24.66,77.16,8.63
299,Panama City,75,US,1562816216,88,30.16,-85.65,80.01,4.7
300,Leh,91,IN,1562816395,70,34.16,77.58,41.95,2.89
301,San Patricio,85,PY,1562816396,78,-26.98,-56.83,67.51,8.1
302,Mahajanga,20,MG,1562816397,93,-15.72,46.32,66.2,3.71
303,Nelson,100,CA,1562816399,94,49.49,-117.29,55.52,1.86
304,San Cristobal,88,HN,1562816400,80,14.68,-86.92,68.34,6.29
305,Grand-Santi,0,GF,1562816401,98,4.27,-54.38,70.91,1.23
306,Dangriga,83,BZ,1562816403,5,16.97,-88.23,79.0,4.0
307,Aden,25,YE,1562816162,66,12.79,45.03,87.42,7.0
308,Talas,0,KG,1562816405,93,42.52,72.24,68.0,4.5
309,Aitape,100,PG,1562816407,72,-3.15,142.36,80.51,3.15
310,Lima,90,PE,1562816331,88,-12.06,-77.04,62.6,6.93
311,Chacabuco,97,AR,1562816409,84,-34.64,-60.47,49.49,2.46
312,Mehamn,0,NO,1562816410,81,71.03,27.85,46.4,1.12
313,Dunedin,0,NZ,1562816290,77,-45.87,170.5,52.84,11.03
314,Luderitz,0,NA,1562816240,59,-26.65,15.16,60.8,6.93
315,Naze,81,NG,1562816226,98,5.43,7.07,71.06,3.06
316,Takoradi,57,GH,1562816415,94,4.89,-1.75,71.78,4.21
317,Bielsk Podlaski,79,PL,1562816416,84,52.77,23.19,57.0,7.31
318,Trastenik,40,BG,1562816418,93,43.52,24.47,57.99,4.7
319,Grand Gaube,75,MU,1562816419,88,-20.01,57.66,69.01,5.82
320,Necochea,67,AR,1562816420,97,-38.55,-58.74,39.99,1.99
321,San Quintin,0,PH,1562816422,65,17.54,120.52,86.63,6.91
322,Horodok,40,UA,1562816423,93,49.78,23.65,52.0,6.71
323,Abbeville,0,FR,1562816424,82,50.11,1.83,64.0,4.7
324,Belfast,88,GB,1562816426,100,54.6,-5.93,60.8,6.93
325,Constitucion,40,MX,1562816275,56,23.99,-104.67,68.0,3.36
326,Cividale del Friuli,33,IT,1562816428,82,46.09,13.43,66.2,3.36
327,Oktyabrskiy,75,RU,1562816429,87,55.61,37.97,57.2,4.47
328,Coquimbo,100,CL,1562815807,51,-29.95,-71.34,45.0,9.15
329,Vestmannaeyjar,94,IS,1562816432,81,63.44,-20.27,52.57,8.3
330,Tiksi,100,RU,1562816217,66,71.64,128.87,55.49,4.68
331,Eureka,90,US,1562816377,77,40.8,-124.16,64.99,4.56
332,Apollonia,40,GR,1562816435,77,40.64,23.49,66.2,13.87
333,Lypova Dolyna,0,UA,1562816437,93,50.56,33.8,51.51,3.76
334,Isangel,75,VU,1562815966,65,-19.55,169.27,78.8,16.11
335,Hobyo,63,SO,1562816439,73,5.35,48.53,78.24,18.81
336,Ribeira Grande,0,PT,1562816441,87,38.52,-28.7,70.01,6.44
337,Santa Luzia,0,BR,1562816442,71,-19.77,-43.85,55.4,3.51
338,Great Falls,1,US,1562816443,49,47.5,-111.29,75.0,6.78
339,Bathsheba,75,BB,1562816445,74,13.22,-59.52,82.4,17.22
340,Mill Valley,1,US,1562816446,64,37.91,-122.55,71.01,6.93
341,Port Hueneme,20,US,1562816429,88,34.15,-119.2,75.99,5.82
342,Gamba,90,CN,1562816268,51,28.28,88.52,50.47,7.02
343,Sobolevo,18,RU,1562816450,97,54.43,31.9,50.11,4.54
344,Bud,0,NO,1562816451,93,62.91,6.91,53.01,3.36
345,Mezen,100,RU,1562816452,93,65.85,44.24,42.04,18.79
346,Verkh-Tula,0,RU,1562816454,63,54.88,82.77,66.2,6.71
347,Garowe,19,SO,1562816455,69,8.41,48.48,75.7,25.7
348,Dingle,6,PH,1562816275,62,11.0,122.67,86.54,4.27
349,Avera,1,US,1562815970,94,33.19,-82.53,80.6,3.36
350,Sola,33,TZ,1562816459,69,-3.17,33.8,63.82,5.75
351,Broome,100,GB,1562816460,87,52.47,1.45,63.0,3.36
352,Yulara,68,AU,1562816188,20,-25.24,130.99,68.0,5.82
353,Narsaq,88,GL,1562816463,75,60.91,-46.05,46.4,3.36
354,Trincomalee,100,LK,1562816464,60,8.58,81.23,85.39,7.23
355,Richards Bay,9,ZA,1562816271,80,-28.77,32.06,65.98,7.11
356,Kulhudhuffushi,100,MV,1562816268,64,6.62,73.07,83.82,4.32
357,High Level,75,CA,1562816468,37,58.52,-117.13,69.8,3.36
358,Kirkuk,0,IQ,1562816469,14,35.47,44.4,87.44,6.53
359,Trofors,2,NO,1562816470,87,65.54,13.39,51.8,2.24
360,Clyde River,1,CA,1562816472,71,70.47,-68.59,50.0,9.17
361,Kaoma,0,ZM,1562816473,54,-14.8,24.8,47.19,5.79
362,Jiayuguan,100,CN,1562816474,20,39.77,98.29,80.42,17.67
363,Whitehorse,40,CA,1562816476,23,60.72,-135.06,78.01,2.24
364,Alyangula,72,AU,1562816477,54,-13.85,136.42,80.6,9.17
365,Birjand,0,IR,1562816478,13,32.86,59.22,82.4,16.11
366,Virginia Beach,1,US,1562816373,94,36.85,-75.98,80.01,5.82
367,Chebsara,40,RU,1562816481,87,59.2,38.84,46.4,8.95
368,Progreso,72,UY,1562816482,87,-34.68,-56.22,51.8,7.81
369,Sisimiut,84,GL,1562816483,91,66.94,-53.67,40.94,9.98
370,Byron Bay,0,AU,1562816485,40,-28.65,153.62,73.99,16.11
371,Kommunisticheskiy,100,RU,1562816486,93,61.68,64.48,62.38,7.76
372,Severo-Kurilsk,100,RU,1562816487,96,50.68,156.12,43.07,20.71
373,Port Elizabeth,1,US,1562816488,69,39.31,-74.98,77.0,3.36
374,Chabahar,88,IR,1562816490,67,25.29,60.65,86.03,8.84
